시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
경기,광명시,0,0,523800,0,3134000,자체예산,30555506,2016
경기,평택시,0,0,0,0,6500000,자체예산,27884530,2016
경기,동두천시,0,233654,0,0,1363000,자체예산,6005038,2016
경기,안산시,0,0,302,0,12623000,자체예산,43951165,2016
경기,고양시,0,0,0,0,19198000,자체예산,80434503,2016
경기,과천시,0,0,0,0,736000,자체예산,2520597,2016
경기,구리시,0,0,0,0,3257000,자체예산,11473000,2016
경기,남양주시,0,0,0,0,10666000,자체예산,46634205,2016
경기,오산시,0,0,0,0,2878000,자체예산,10596996,2016
경기,시흥시,0,0,0,0,8295000,자체예산,30838008,2016
경기,군포시,0,0,0,0,6628000,자체예산,22347007,2016
경기,의왕시,0,0,0,0,2963000,자체예산,9246588,2016
경기,하남시,0,0,50,0,2791000,자체예산,38582657,2016
경기,용인시,0,0,0,0,26710000,자체예산,67856158,2016
경기,파주시,0,0,0,0,9730000,자체예산,38577776,2016
경기,이천시,0,0,488400,0,3334000,자체예산,30031510,2016
경기,안성시,0,0,0,0,3082000,자체예산,11042387,2016
경기,김포시,0,0,0,0,5073000,자체예산,10200000,2016
경기,화성시,0,0,0,0,9921000,자체예산,27324000,2016
경기,광주시,0,0,2616,0,5662000,자체예산,23989085,2016
경기,양주시,0,0,650,0,4068000,자체예산,37316521,2016
경기,포천시,0,0,166600,0,3900000,자체예산,16094374,2016
경기,여주시,0,0,192229,0,1319000,자체예산,9436252,2016
경기,연천군,0,0,0,0,823000,자체예산,3726650,2016
경기,가평군,0,0,0,0,1653000,자체예산,3556000,2016
경기,양평군,0,0,4500,0,1451000,자체예산,10210595,2016
충북,충북,0,0,0,0,0,자체예산,0,2016
충북,청주시,0,0,2123500,0,13668000,자체예산,31264005,2016
충북,충주시,0,0,0,0,4025000,자체예산,2979469,2016
충북,제천시,0,0,0,0,2063000,자체예산,2788000,2016
충북,보은군,0,0,0,0,369000,자체예산,4167000,2016
충북,옥천군,0,0,0,0,626000,자체예산,4832561,2016
충북,영동군,0,0,0,0,533000,자체예산,5030061,2016
충북,증평군,0,577254,0,0,575000,자체예산,3529991,2016
충북,진천군,0,1131380,0,0,1214000,자체예산,6990895,2016
충북,괴산군,0,0,0,0,373000,자체예산,1255451,2016
충북,음성군,0,0,231400,0,1334000,자체예산,9353067,2016
충북,단양군,0,0,0,0,367000,자체예산,1862354,2016
충남,충남,0,0,0,0,0,자체예산,0,2016
충남,천안시,0,0,3400,0,19542000,자체예산,57133191,2016
충남,공주시,0,0,73000,0,1221000,자체예산,9840592,2016
충남,보령시,0,0,0,0,1741000,자체예산,11492013,2016
충남,아산시,0,0,0,0,4826000,자체예산,15977129,2016
충남,서산시,0,0,565000,0,2537000,자체예산,22994906,2016
충남,논산시,0,0,924000,0,1807000,자체예산,18354788,2016
충남,계룡시,0,0,0,0,664000,자체예산,6150553,2016
충남,당진시,0,0,103900,0,2816000,자체예산,16946479,2016
충남,금산군,0,0,0,0,364000,자체예산,6222457,2016
충남,부여군,0,0,353500,0,524000,자체예산,6648247,2016
충남,서천군,0,0,723600,0,616000,자체예산,9906792,2016
충남,청양군,0,0,0,0,175000,자체예산,3065048,2016
