시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
전북,순창군,자치단체,인원(명),34,2016
전북,고창군,자치단체,인원(명),58,2016
전북,부안군,자치단체,인원(명),82,2016
전남,목포시,자치단체,인원(명),163,2016
전남,여수시,자치단체,인원(명),0,2016
전남,순천시,자치단체,인원(명),144,2016
전남,나주시,자치단체,인원(명),104,2016
전남,광양시,자치단체,인원(명),0,2016
전남,담양군,자치단체,인원(명),53,2016
전남,곡성군,자치단체,인원(명),35,2016
전남,구례군,자치단체,인원(명),35,2016
전남,고흥군,자치단체,인원(명),66,2016
전남,보성군,자치단체,인원(명),53,2016
전남,화순군,자치단체,인원(명),68,2016
전남,장흥군,자치단체,인원(명),45,2016
전남,강진군,자치단체,인원(명),43,2016
전남,해남군,자치단체,인원(명),75,2016
전남,영암군,자치단체,인원(명),56,2016
전남,무안군,자치단체,인원(명),56,2016
전남,함평군,자치단체,인원(명),25,2016
전남,영광군,자치단체,인원(명),41,2016
전남,장성군,자치단체,인원(명),37,2016
전남,완도군,자치단체,인원(명),83,2016
전남,진도군,자치단체,인원(명),69,2016
전남,신안군,자치단체,인원(명),57,2016
경북,포항시,자치단체,인원(명),312,2016
경북,경주시,자치단체,인원(명),154,2016
경북,김천시,자치단체,인원(명),74,2016
경북,안동시,자치단체,인원(명),90,2016
경북,구미시,자치단체,인원(명),225,2016
경북,영주시,자치단체,인원(명),40,2016
경북,영천시,자치단체,인원(명),93,2016
경북,상주시,자치단체,인원(명),127,2016
경북,문경시,자치단체,인원(명),74,2016
경북,경산시,자치단체,인원(명),98,2016
경북,의성군,자치단체,인원(명),25,2016
경북,청송군,자치단체,인원(명),33,2016
경북,영양군,자치단체,인원(명),30,2016
경북,영덕군,자치단체,인원(명),59,2016
경북,청도군,자치단체,인원(명),39,2016
경북,고령군,자치단체,인원(명),8,2016
경북,성주군,자치단체,인원(명),34,2016
경북,칠곡군,자치단체,인원(명),33,2016
경북,예천군,자치단체,인원(명),56,2016
경북,봉화군,자치단체,인원(명),11,2016
경북,울진군,자치단체,인원(명),84,2016
경북,울릉군,자치단체,인원(명),36,2016
경남,창원시,자치단체,인원(명),152,2016
경남,진주시,자치단체,인원(명),288,2016
경남,통영시,자치단체,인원(명),69,2016
경남,사천시,자치단체,인원(명),74,2016
경남,김해시,자치단체,인원(명),17,2016
경남,밀양시,자치단체,인원(명),29,2016
경남,거제시,자치단체,인원(명),52,2016
경남,양산시,자치단체,인원(명),193,2016
경남,의령군,자치단체,인원(명),40,2016
경남,함안군,자치단체,인원(명),29,2016
경남,창녕군,자치단체,인원(명),30,2016
경남,고성군,자치단체,인원(명),43,2016
경남,남해군,자치단체,인원(명),38,2016
경남,하동군,자치단체,인원(명),58,2016
경남,산청군,자치단체,인원(명),44,2016
경남,함양군,자치단체,인원(명),40,2016
경남,거창군,자치단체,인원(명),0,2016
경남,합천군,자치단체,인원(명),37,2016
제주,제주시,자치단체,인원(명),263,2016
제주,서귀포시,자치단체,인원(명),152,2016
강원,춘천시,자치단체,인원(명),133,2016
강원,원주시,자치단체,인원(명),262,2016
강원,강릉시,자치단체,인원(명),160,2016
강원,동해시,자치단체,인원(명),97,2016
강원,태백시,자치단체,인원(명),55,2016
강원,속초시,자치단체,인원(명),66,2016
강원,삼척시,자치단체,인원(명),81,2016
강원,홍천군,자치단체,인원(명),26,2016
강원,횡성군,자치단체,인원(명),35,2016
강원,영월군,자치단체,인원(명),39,2016
강원,평창군,자치단체,인원(명),39,2016
강원,정선군,자치단체,인원(명),55,2016
강원,철원군,자치단체,인원(명),30,2016
