,재활용가능자원 분리배출_종이류,종량제에 의한 혼합배출_가연성_음식물채소류,재활용가능자원 분리배출_기타,재활용가능자원 분리배출_전자제품,종량제에 의한 혼합배출_가연성_플라스틱류,종량제에 의한 혼합배출_불연성_소계,종량제에 의한 혼합배출_소계,재활용가능자원 분리배출_발포수지류,총계,재활용가능자원 분리배출_영농폐기물,종량제에 의한 혼합배출_불연성_토사류,재활용가능자원 분리배출_가구류,재활용가능자원 분리배출_기타(배출불명 등),음식물류 배출(분리배출 지역일 경우),재활용가능자원 분리배출_형광등,종량제에 의한 혼합배출_가연성_소계,재활용가능자원 분리배출_소계,구분_시군구,재활용가능자원 분리배출_폐식용유,종량제에 의한 혼합배출_가연성_고무피혁류,재활용가능자원 분리배출_윤활유,재활용가능자원 분리배출_전지류,재활용가능자원 분리배출_의류,종량제에 의한 혼합배출_가연성_기타,재활용가능자원 분리배출_합성수지류,종량제에 의한 혼합배출_가연성_나무류,재활용가능자원 분리배출_고철류,종량제에 의한 혼합배출_가연성_종이류,재활용가능자원 분리배출_플라스틱류,종량제에 의한 혼합배출_불연성_금속류,재활용가능자원 분리배출_캔류,발생량및처리현황,종량제에 의한 혼합배출_불연성_기타,재활용가능자원 분리배출_유리병류,종량제에 의한 혼합배출_불연성_유리류,재활용가능자원 분리배출_타이어,구분_시도
154,0.0,0.0,0.0,0.0,2.9,1.0,20.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,수영구,0.0,2.8,0.0,0.0,0.0,3.8,0.0,2.8,0.0,4.7,0.0,0.1,0.0,소각,0.7,0.0,0.2,0.0,부산
155,34.9,0.0,5.6,0.8,4.2,0.8,12.7,0.3,120.8,0.0,0.0,0.0,0.0,36.8,0.1,11.9,71.3,수영구,0.0,0.0,0.0,0.1,0.0,0.8,4.9,1.4,9.5,5.5,2.8,0.1,3.2,재활용,0.6,9.1,0.1,0.0,부산
156,38.9,0.6,9.7,1.2,23.6,0.3,55.7,0.3,203.8,0.0,0.0,0.0,9.0,52.9,0.2,46.4,95.2,사상구,0.0,2.3,0.0,0.1,0.0,7.5,7.4,1.2,14.2,11.2,3.5,0.2,5.4,발생량,0.0,14.3,0.1,0.0,부산
157,0.0,0.1,0.0,0.0,9.5,0.3,23.4,0.0,23.4,0.0,0.0,0.0,4.0,0.0,0.0,19.1,0.0,사상구,0.0,1.5,0.0,0.0,0.0,3.6,0.0,0.3,0.0,4.1,0.0,0.2,0.0,매립,0.0,0.0,0.1,0.0,부산
158,0.0,0.4,0.0,0.0,0.5,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,사상구,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.4,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,부산
159,38.9,0.1,9.7,1.2,13.6,0.0,24.3,0.3,172.4,0.0,0.0,0.0,4.0,52.9,0.2,20.3,95.2,사상구,0.0,0.2,0.0,0.1,0.0,3.9,7.4,0.8,14.2,1.7,3.5,0.0,5.4,재활용,0.0,14.3,0.0,0.0,부산
160,0.0,3.8,0.4,0.5,6.4,5.9,55.3,0.1,103.2,0.2,0.0,0.0,21.0,43.1,0.1,28.4,4.8,기장군,0.0,0.8,0.0,0.0,0.0,5.2,1.7,0.7,0.0,11.5,0.4,1.3,0.1,발생량,3.7,1.3,0.9,0.0,부산
161,0.0,0.2,0.0,0.0,0.3,0.7,5.3,0.0,5.3,0.0,0.0,0.0,2.7,0.0,0.0,1.9,0.0,기장군,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,매립,0.5,0.0,0.2,0.0,부산
162,0.0,3.6,0.0,0.0,6.1,3.7,44.9,0.0,44.9,0.0,0.0,0.0,16.8,0.0,0.0,24.4,0.0,기장군,0.0,0.6,0.0,0.0,0.0,2.5,0.0,0.7,0.0,10.9,0.0,1.3,0.0,소각,1.7,0.0,0.7,0.0,부산
163,0.0,0.0,0.4,0.5,0.0,1.5,5.1,0.1,53.0,0.2,0.0,0.0,1.5,43.1,0.1,2.1,4.8,기장군,0.0,0.0,0.0,0.0,0.0,2.1,1.7,0.0,0.0,0.0,0.4,0.0,0.1,재활용,1.5,1.3,0.0,0.0,부산
164,11.5,4.1,7.1,0.0,16.6,4.8,66.7,0.3,145.1,0.0,0.3,0.0,0.2,32.2,0.0,61.7,46.2,중구,0.0,3.2,0.0,0.0,1.4,10.0,5.3,1.7,2.8,26.1,2.5,2.4,4.1,발생량,0.6,11.2,1.5,0.0,대구
165,0.0,3.6,0.0,0.0,10.7,3.3,43.3,0.0,43.3,0.0,0.2,0.0,0.0,0.0,0.0,40.0,0.0,중구,0.0,2.1,0.0,0.0,0.0,5.6,0.0,1.1,0.0,16.9,0.0,1.6,0.0,매립,0.5,0.0,1.0,0.0,대구
166,0.0,0.5,0.0,0.0,1.6,0.4,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,중구,0.0,0.3,0.0,0.0,0.0,0.8,0.0,0.2,0.0,2.5,0.0,0.2,0.0,소각,0.1,0.0,0.1,0.0,대구
167,11.5,0.0,7.1,0.0,4.3,1.1,17.1,0.3,95.5,0.0,0.1,0.0,0.2,32.2,0.0,15.8,46.2,중구,0.0,0.8,0.0,0.0,1.4,3.6,5.3,0.4,2.8,6.7,2.5,0.6,4.1,재활용,0.0,11.2,0.4,0.0,대구
168,7.6,11.1,19.0,0.5,37.8,16.2,163.1,0.0,314.0,0.0,0.4,2.3,0.8,87.5,0.3,146.1,63.4,동구,0.0,2.9,0.0,0.1,1.1,22.2,5.6,4.3,6.3,67.8,5.0,5.5,5.1,발생량,1.1,10.3,9.2,0.2,대구
169,0.0,6.3,0.0,0.0,18.7,5.0,75.5,0.0,75.5,0.0,0.4,0.0,0.8,0.0,0.0,69.7,0.0,동구,0.0,0.8,0.0,0.0,0.0,12.5,0.0,1.9,0.0,29.5,0.0,2.8,0.0,매립,0.1,0.0,1.7,0.0,대구
170,0.0,4.8,0.0,0.0,12.1,0.0,48.2,0.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,48.2,0.0,동구,0.0,1.4,0.0,0.0,0.0,8.2,0.0,2.4,0.0,19.3,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,대구
