구분_시도,구분_시군구,종류,하위종류,발생량,매립,소각,재활용
강원,동해시,재활용가능자원 분리배출,금속캔,0.7,0.0,0.0,0.7
강원,동해시,재활용가능자원 분리배출,기타,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,발포수지류,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,비닐류(합성수지류),0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,영농폐기물,0.2,0.0,0.0,0.2
강원,동해시,재활용가능자원 분리배출,유리병류,2.0,0.0,0.0,2.0
강원,동해시,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,의류,0.2,0.0,0.0,0.2
강원,동해시,재활용가능자원 분리배출,재활용잔재물,0.9,0.0,0.0,0.9
강원,동해시,재활용가능자원 분리배출,전자제품,0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,전지류,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,종이류,15.8,0.0,0.0,15.8
강원,동해시,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,폐식용유,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,플라스틱류,1.2,0.0,0.0,1.2
강원,동해시,재활용가능자원 분리배출,형광등,0.1,0.0,0.0,0.1
강원,동해시,종량제에 의한 혼합배출,가연성_고무피혁류,2.0,0.0,0.0,2.0
강원,동해시,종량제에 의한 혼합배출,가연성_기타,19.0,0.0,0.0,19.0
강원,동해시,종량제에 의한 혼합배출,가연성_나무류,2.5,0.0,0.0,2.5
강원,동해시,종량제에 의한 혼합배출,가연성_음식물채소류,3.5,0.0,0.0,3.5
강원,동해시,종량제에 의한 혼합배출,가연성_종이류,15.0,0.0,0.0,15.0
강원,동해시,종량제에 의한 혼합배출,가연성_플라스틱류,7.2,0.0,0.0,7.2
강원,동해시,종량제에 의한 혼합배출,불연성_금속류,2.3,2.3,0.0,0.0
강원,동해시,종량제에 의한 혼합배출,불연성_기타,2.6,2.6,0.0,0.0
강원,동해시,종량제에 의한 혼합배출,불연성_유리류,1.7,1.7,0.0,0.0
강원,동해시,종량제에 의한 혼합배출,불연성_토사류,2.0,2.0,0.0,0.0
강원,삼척시,음식물류 배출(분리배출 지역일 경우),EMPTY,17.5,0.0,0.0,17.5
강원,삼척시,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,고철류,5.0,0.0,0.0,5.0
강원,삼척시,재활용가능자원 분리배출,금속캔,2.2,0.0,0.0,2.2
강원,삼척시,재활용가능자원 분리배출,기타,1.1,0.0,0.0,1.1
강원,삼척시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,발포수지류,0.1,0.0,0.0,0.1
강원,삼척시,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,영농폐기물,0.7,0.0,0.0,0.7
강원,삼척시,재활용가능자원 분리배출,유리병류,1.8,0.0,0.0,1.8
강원,삼척시,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,재활용잔재물,1.6,0.0,0.0,1.6
강원,삼척시,재활용가능자원 분리배출,전자제품,0.4,0.0,0.0,0.4
강원,삼척시,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,종이류,6.2,0.0,0.0,6.2
강원,삼척시,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,삼척시,재활용가능자원 분리배출,플라스틱류,2.6,0.0,0.0,2.6
강원,삼척시,재활용가능자원 분리배출,형광등,0.1,0.0,0.0,0.1
강원,삼척시,종량제에 의한 혼합배출,가연성_고무피혁류,3.8,3.8,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,가연성_기타,13.5,13.5,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,가연성_나무류,1.8,1.8,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,가연성_음식물채소류,4.2,4.2,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,가연성_종이류,18.8,18.8,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,가연성_플라스틱류,5.2,5.2,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,불연성_금속류,2.5,2.5,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,불연성_기타,2.0,2.0,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,불연성_유리류,4.0,4.0,0.0,0.0
강원,삼척시,종량제에 의한 혼합배출,불연성_토사류,1.0,1.0,0.0,0.0
강원,속초시,음식물류 배출(분리배출 지역일 경우),EMPTY,22.8,9.7,1.0,12.1
강원,속초시,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,고철류,0.1,0.0,0.0,0.1
강원,속초시,재활용가능자원 분리배출,금속캔,0.5,0.0,0.0,0.5
강원,속초시,재활용가능자원 분리배출,기타,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,영농폐기물,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,유리병류,0.3,0.0,0.0,0.3
강원,속초시,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,재활용잔재물,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,전자제품,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,종이류,0.4,0.0,0.0,0.4
강원,속초시,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,속초시,재활용가능자원 분리배출,플라스틱류,1.0,0.0,0.0,1.0
강원,속초시,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_고무피혁류,0.0,0.0,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_기타,52.1,0.0,52.1,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_나무류,1.3,0.0,1.3,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_음식물채소류,2.7,0.0,2.7,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_종이류,12.7,0.0,12.7,0.0
강원,속초시,종량제에 의한 혼합배출,가연성_플라스틱류,0.0,0.0,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,불연성_금속류,0.0,0.0,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,불연성_기타,38.9,38.9,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,불연성_유리류,0.0,0.0,0.0,0.0
강원,속초시,종량제에 의한 혼합배출,불연성_토사류,0.0,0.0,0.0,0.0
강원,양구군,음식물류 배출(분리배출 지역일 경우),EMPTY,5.6,0.0,0.0,5.6
강원,양구군,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,고철류,0.1,0.0,0.0,0.1
강원,양구군,재활용가능자원 분리배출,금속캔,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,기타,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,영농폐기물,2.3,0.0,0.0,2.3
강원,양구군,재활용가능자원 분리배출,유리병류,0.1,0.0,0.0,0.1
강원,양구군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,재활용잔재물,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,전자제품,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,종이류,0.1,0.0,0.0,0.1
강원,양구군,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,양구군,재활용가능자원 분리배출,플라스틱류,0.1,0.0,0.0,0.1
강원,양구군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,양구군,종량제에 의한 혼합배출,가연성_고무피혁류,1.9,0.0,1.9,0.0
강원,양구군,종량제에 의한 혼합배출,가연성_기타,7.6,0.0,7.4,0.2
강원,양구군,종량제에 의한 혼합배출,가연성_나무류,3.2,0.0,3.2,0.0
강원,양구군,종량제에 의한 혼합배출,가연성_음식물채소류,0.3,0.0,0.3,0.0
강원,양구군,종량제에 의한 혼합배출,가연성_종이류,2.2,0.0,2.2,0.0
강원,양구군,종량제에 의한 혼합배출,가연성_플라스틱류,2.1,0.0,2.1,0.0
강원,양구군,종량제에 의한 혼합배출,불연성_금속류,0.2,0.2,0.0,0.0
강원,양구군,종량제에 의한 혼합배출,불연성_기타,1.9,1.9,0.0,0.0
강원,양구군,종량제에 의한 혼합배출,불연성_유리류,0.4,0.4,0.0,0.0
강원,양구군,종량제에 의한 혼합배출,불연성_토사류,3.2,3.2,0.0,0.0
강원,양양군,음식물류 배출(분리배출 지역일 경우),EMPTY,14.3,0.0,11.3,3.0
강원,양양군,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,고철류,1.4,0.0,0.0,1.4
강원,양양군,재활용가능자원 분리배출,금속캔,0.3,0.0,0.0,0.3
강원,양양군,재활용가능자원 분리배출,기타,0.4,0.0,0.0,0.4
강원,양양군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,발포수지류,0.4,0.0,0.0,0.4
강원,양양군,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,영농폐기물,0.3,0.0,0.0,0.3
강원,양양군,재활용가능자원 분리배출,유리병류,5.3,0.0,0.0,5.3
강원,양양군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,재활용잔재물,0.4,0.0,0.0,0.4
강원,양양군,재활용가능자원 분리배출,전자제품,0.2,0.0,0.0,0.2
강원,양양군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,종이류,1.0,0.0,0.0,1.0
강원,양양군,재활용가능자원 분리배출,타이어,0.2,0.0,0.0,0.2
강원,양양군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,양양군,재활용가능자원 분리배출,플라스틱류,0.5,0.0,0.0,0.5
강원,양양군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_고무피혁류,2.0,0.0,2.0,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_기타,4.5,0.0,4.5,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_나무류,2.0,0.0,2.0,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_음식물채소류,1.8,0.0,1.8,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_종이류,7.3,0.0,7.3,0.0
강원,양양군,종량제에 의한 혼합배출,가연성_플라스틱류,5.3,0.0,5.3,0.0
강원,양양군,종량제에 의한 혼합배출,불연성_금속류,1.6,1.6,0.0,0.0
강원,양양군,종량제에 의한 혼합배출,불연성_기타,5.5,5.5,0.0,0.0
강원,양양군,종량제에 의한 혼합배출,불연성_유리류,0.8,0.8,0.0,0.0
강원,양양군,종량제에 의한 혼합배출,불연성_토사류,0.2,0.2,0.0,0.0
강원,영월군,음식물류 배출(분리배출 지역일 경우),EMPTY,7.4,0.1,0.0,7.3
강원,영월군,재활용가능자원 분리배출,가구류,1.7,0.0,0.0,1.7
강원,영월군,재활용가능자원 분리배출,고철류,0.1,0.0,0.0,0.1
강원,영월군,재활용가능자원 분리배출,금속캔,0.2,0.0,0.0,0.2
강원,영월군,재활용가능자원 분리배출,기타,0.1,0.0,0.0,0.1
강원,영월군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,영농폐기물,4.3,0.0,0.0,4.3
강원,영월군,재활용가능자원 분리배출,유리병류,0.9,0.0,0.0,0.9
강원,영월군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,재활용잔재물,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,전자제품,0.2,0.0,0.0,0.2
강원,영월군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,종이류,0.3,0.0,0.0,0.3
강원,영월군,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,영월군,재활용가능자원 분리배출,플라스틱류,0.8,0.0,0.0,0.8
강원,영월군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_고무피혁류,1.0,0.3,0.7,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_기타,3.4,1.0,2.4,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_나무류,0.6,0.2,0.4,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_음식물채소류,1.2,0.4,0.8,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_종이류,5.5,1.7,3.8,0.0
강원,영월군,종량제에 의한 혼합배출,가연성_플라스틱류,4.5,1.4,3.1,0.0
강원,영월군,종량제에 의한 혼합배출,불연성_금속류,0.4,0.1,0.3,0.0
강원,영월군,종량제에 의한 혼합배출,불연성_기타,0.4,0.1,0.3,0.0
강원,영월군,종량제에 의한 혼합배출,불연성_유리류,0.7,0.2,0.5,0.0
강원,영월군,종량제에 의한 혼합배출,불연성_토사류,0.2,0.1,0.1,0.0
강원,원주시,음식물류 배출(분리배출 지역일 경우),EMPTY,81.9,0.0,0.0,81.9
강원,원주시,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,고철류,4.6,0.0,0.0,4.6
강원,원주시,재활용가능자원 분리배출,금속캔,5.3,0.0,0.0,5.3
강원,원주시,재활용가능자원 분리배출,기타,0.8,0.0,0.0,0.8
강원,원주시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,발포수지류,0.5,0.0,0.0,0.5
강원,원주시,재활용가능자원 분리배출,비닐류(합성수지류),6.1,0.0,0.0,6.1
강원,원주시,재활용가능자원 분리배출,영농폐기물,3.7,0.0,0.0,3.7
강원,원주시,재활용가능자원 분리배출,유리병류,2.7,0.0,0.0,2.7
강원,원주시,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,의류,11.8,0.0,0.0,11.8
강원,원주시,재활용가능자원 분리배출,재활용잔재물,23.6,0.0,0.0,23.6
강원,원주시,재활용가능자원 분리배출,전자제품,0.5,0.0,0.0,0.5
강원,원주시,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,종이류,119.3,0.0,0.0,119.3
강원,원주시,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,원주시,재활용가능자원 분리배출,플라스틱류,9.5,0.0,0.0,9.5
강원,원주시,재활용가능자원 분리배출,형광등,0.2,0.0,0.0,0.2
강원,원주시,종량제에 의한 혼합배출,가연성_고무피혁류,1.1,0.0,0.0,1.1
강원,원주시,종량제에 의한 혼합배출,가연성_기타,25.9,0.0,0.0,25.9
강원,원주시,종량제에 의한 혼합배출,가연성_나무류,1.7,0.0,0.0,1.7
강원,원주시,종량제에 의한 혼합배출,가연성_음식물채소류,4.5,0.0,0.0,4.5
강원,원주시,종량제에 의한 혼합배출,가연성_종이류,23.5,0.0,0.0,23.5
강원,원주시,종량제에 의한 혼합배출,가연성_플라스틱류,18.3,0.0,0.0,18.3
강원,원주시,종량제에 의한 혼합배출,불연성_금속류,13.1,13.1,0.0,0.0
강원,원주시,종량제에 의한 혼합배출,불연성_기타,10.9,10.9,0.0,0.0
강원,원주시,종량제에 의한 혼합배출,불연성_유리류,21.4,21.4,0.0,0.0
강원,원주시,종량제에 의한 혼합배출,불연성_토사류,1.3,1.3,0.0,0.0
강원,인제군,음식물류 배출(분리배출 지역일 경우),EMPTY,4.1,1.2,0.0,2.9
강원,인제군,재활용가능자원 분리배출,가구류,0.5,0.0,0.0,0.5
강원,인제군,재활용가능자원 분리배출,고철류,0.6,0.0,0.0,0.6
강원,인제군,재활용가능자원 분리배출,금속캔,0.8,0.0,0.0,0.8
강원,인제군,재활용가능자원 분리배출,기타,0.1,0.0,0.0,0.1
강원,인제군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,비닐류(합성수지류),0.1,0.0,0.0,0.1
강원,인제군,재활용가능자원 분리배출,영농폐기물,2.6,0.0,0.0,2.6
강원,인제군,재활용가능자원 분리배출,유리병류,1.0,0.0,0.0,1.0
강원,인제군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,의류,0.5,0.0,0.0,0.5
강원,인제군,재활용가능자원 분리배출,재활용잔재물,0.2,0.0,0.0,0.2
강원,인제군,재활용가능자원 분리배출,전자제품,0.1,0.0,0.0,0.1
강원,인제군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,종이류,2.5,0.0,0.0,2.5
강원,인제군,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,인제군,재활용가능자원 분리배출,플라스틱류,0.9,0.0,0.0,0.9
강원,인제군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,인제군,종량제에 의한 혼합배출,가연성_고무피혁류,3.4,3.3,0.1,0.0
강원,인제군,종량제에 의한 혼합배출,가연성_기타,14.7,10.2,2.7,1.8
