,CTS_JIDT_NM,A_EMD_CO,A_HSHLD_CO,B_SUBSUM_EMD_CO,B_SUBSUM_HSHLD_CO,B_PPP_OPRTN_EMD_CO,B_PPP_OPRTN_HSHLD_CO,B_PPP_IN_OPRTN_EMD_CO,B_PPP_IN_OPRTN_HSHLD_CO,C_EMD_CO,C_HSHLD_CO
106,이천시,14,84339,14,84339,14,84339,0,0,,0
107,안성시,15,76291,15,76291,15,76291,0,0,,0
108,김포시,13,139498,13,139498,13,139498,0,0,,0
109,화성시,24,245921,24,245921,24,245921,0,0,,0
110,광주시,10,131303,10,131303,10,131303,0,0,,0
111,양주시,11,80790,11,80790,11,80790,0,0,,0
112,포천시,14,68354,14,68354,14,68354,0,0,,0
113,여주시,12,47889,12,47889,12,47889,0,0,,0
114,연천군,10,21656,10,21656,10,21656,0,0,,0
115,가평군,6,29212,6,29212,6,29212,0,0,,0
116,양평군,12,50544,12,50544,12,50544,0,0,,0
117,충청북도,153,680960,153,680797,153,680797,0,0,,163
118,청주시,43,341596,43,341596,43,341596,0,0,,0
119,충주시,25,88900,25,88900,25,88900,0,0,,0
120,제천시,17,60946,17,60946,17,60946,0,0,,0
121,보은군,11,16304,11,16304,11,16304,0,0,,0
122,옥천군,9,23092,9,22929,9,22929,0,0,,163
123,영동군,11,23840,11,23840,11,23840,0,0,,0
124,증평군,2,16238,2,16238,2,16238,0,0,,0
125,진천군,7,30746,7,30746,7,30746,0,0,,0
126,괴산군,11,19905,11,19905,11,19905,0,0,,0
127,음성군,9,44649,9,44649,9,44649,0,0,,0
128,단양군,8,14744,8,14744,8,14744,0,0,,0
129,충청남도,207,902294,207,900531,207,900531,0,0,,1763
130,천안시,30,254676,30,254676,30,254676,0,0,,0
131,공주시,16,48835,16,48835,16,48835,0,0,,0
132,보령시,16,47011,16,45414,16,45414,0,0,,1597
133,아산시,17,124223,17,124223,17,124223,0,0,,0
134,서산시,15,70991,15,70879,15,70879,0,0,,112
135,논산시,15,56347,15,56347,15,56347,0,0,,0
136,계룡시,4,14858,4,14858,4,14858,0,0,,0
137,당진시,14,73434,14,73434,14,73434,0,0,,0
138,금산군,10,25342,10,25342,10,25342,0,0,,0
139,부여군,16,32903,16,32903,16,32903,0,0,,0
140,서천군,13,26583,13,26529,13,26529,0,0,,54
141,청양군,10,15668,10,15668,10,15668,0,0,,0
142,홍성군,11,43555,11,43555,11,43555,0,0,,0
143,예산군,12,37251,12,37251,12,37251,0,0,,0
144,태안군,8,30617,8,30617,8,30617,0,0,,0
145,전라북도,241,790084,240,788217,240,788217,0,0,1,1867
146,전주시,33,258006,33,258006,33,258006,0,0,,0
147,군산시,27,115329,26,113462,26,113462,0,0,1,1867
148,익산시,29,123675,29,123675,29,123675,0,0,,0
149,정읍시,23,52330,23,52330,23,52330,0,0,,0
150,남원시,23,37529,23,37529,23,37529,0,0,,0
151,김제시,19,41601,19,41601,19,41601,0,0,,0
152,완주군,13,41204,13,41204,13,41204,0,0,,0
153,진안군,11,12654,11,12654,11,12654,0,0,,0
154,무주군,6,11893,6,11893,6,11893,0,0,,0
155,장수군,7,11123,7,11123,7,11123,0,0,,0
156,임실군,12,14332,12,14332,12,14332,0,0,,0
157,순창군,11,13819,11,13819,11,13819,0,0,,0
158,고창군,14,28900,14,28900,14,28900,0,0,,0
159,부안군,13,27689,13,27689,13,27689,0,0,,0
160,전라남도,297,842688,291,836031,291,836031,0,0,6,6657
161,목포시,23,101180,23,101180,23,101180,0,0,,0
162,여수시,27,118910,22,116992,22,116992,0,0,5,1918
163,순천시,24,109650,24,109650,24,109650,0,0,,0
164,나주시,20,49378,20,49378,20,49378,0,0,,0
165,광양시,12,61487,12,61487,12,61487,0,0,,0
166,담양군,12,22334,12,22334,12,22334,0,0,,0
167,곡성군,11,14960,11,14960,11,14960,0,0,,0
168,구례군,8,12883,8,12823,8,12823,0,0,,60
169,고흥군,16,34508,16,34213,16,34213,0,0,,295
170,보성군,12,22449,12,22234,12,22234,0,0,,215
171,화순군,13,29575,13,29575,13,29575,0,0,,0
172,장흥군,10,20161,10,20161,10,20161,0,0,,0
173,강진군,11,18414,11,18414,11,18414,0,0,,0
174,해남군,14,35231,14,35035,14,35035,0,0,,196
175,영암군,11,27190,11,27190,11,27190,0,0,,0
176,무안군,9,35500,9,35471,9,35471,0,0,,29
177,함평군,9,17591,9,17591,9,17591,0,0,,0
178,영광군,11,26054,10,25670,10,25670,0,0,1,384
179,장성군,11,21557,11,21557,11,21557,0,0,,0
180,완도군,12,25688,12,24239,12,24239,0,0,,1449
181,진도군,7,15911,7,15911,7,15911,0,0,,0
182,신안군,14,22077,14,19966,14,19966,0,0,,2111
183,경상북도,324,1168215,324,1165342,324,1165342,0,0,,2873
184,포항시,29,212095,29,212095,29,212095,0,0,,0
185,경주시,23,113798,23,113798,23,113798,0,0,,0
186,김천시,22,62202,22,62202,22,62202,0,0,,0
187,안동시,24,73714,24,73714,24,73714,0,0,,0
188,구미시,27,168487,27,168487,27,168487,0,0,,0
189,영주시,19,48678,19,48678,19,48678,0,0,,0
190,영천시,16,47509,16,47509,16,47509,0,0,,0
191,상주시,24,46750,24,46750,24,46750,0,0,,0
192,문경시,14,34643,14,31871,14,31871,0,0,,2772
193,경산시,15,107821,15,107821,15,107821,0,0,,0
194,의성군,18,27440,18,27440,18,27440,0,0,,0
195,청송군,8,13460,8,13460,8,13460,0,0,,0
196,영양군,6,8800,6,8800,6,8800,0,0,,0
197,영덕군,9,20185,9,20185,9,20185,0,0,,0
198,청도군,9,21722,9,21722,9,21722,0,0,,0
199,고령군,8,16215,8,16215,8,16215,0,0,,0
200,성주군,10,21877,10,21877,10,21877,0,0,,0
201,칠곡군,8,53695,8,53695,8,53695,0,0,,0
202,예천군,12,22123,12,22123,12,22123,0,0,,0
203,봉화군,10,16492,10,16492,10,16492,0,0,,0
204,울진군,10,25186,10,25186,10,25186,0,0,,0
205,울릉군,3,5323,3,5222,3,5222,0,0,,101
206,경상남도,314,1385684,314,1383689,314,1383689,0,0,,1995
207,창원시,62,417762,62,417658,62,417658,0,0,,104
208,진주시,32,140748,32,140748,32,140748,0,0,,0
209,통영시,15,59214,15,57814,15,57814,0,0,,1400
210,사천시,14,51012,14,50772,14,50772,0,0,,240
211,김해시,19,200370,19,200370,19,200370,0,0,,0
212,밀양시,16,50158,16,50158,16,50158,0,0,,0
213,거제시,18,102413,18,102227,18,102227,0,0,,186
214,양산시,13,125453,13,125453,13,125453,0,0,,0
215,의령군,13,14419,13,14419,13,14419,0,0,,0
216,함안군,10,31106,10,31106,10,31106,0,0,,0
217,창녕군,14,30810,14,30810,14,30810,0,0,,0
218,고성군,14,25853,14,25853,14,25853,0,0,,0
219,남해군,10,22155,10,22090,10,22090,0,0,,65
220,하동군,13,23704,13,23704,13,23704,0,0,,0
221,산청군,11,18404,11,18404,11,18404,0,0,,0
222,함양군,11,19598,11,19598,11,19598,0,0,,0
223,거창군,12,28203,12,28203,12,28203,0,0,,0
224,합천군,17,24302,17,24302,17,24302,0,0,,0
225,제주특별자치도,43,266972,43,266972,43,266972,0,0,,0
226,제주시,26,192353,26,192353,26,192353,0,0,,0
227,서귀포시,17,74619,17,74619,17,74619,0,0,,0
228,강원특별자치도,193,692254,191,690001,191,690001,0,0,2,2253
229,춘천시,25,117014,25,117014,25,117014,0,0,,0
230,원주시,25,142136,25,142136,25,142136,0,0,,0
231,강릉시,21,94781,21,94781,21,94781,0,0,,0
232,동해시,10,40468,10,40064,10,40064,0,0,,404
233,태백시,8,22265,6,21900,6,21900,0,0,2,365
234,속초시,8,37193,8,37193,8,37193,0,0,,0
235,삼척시,12,34147,12,34147,12,34147,0,0,,0
236,홍천군,10,31851,10,31851,10,31851,0,0,,0
237,횡성군,9,21283,9,21283,9,21283,0,0,,0
238,영월군,9,20255,9,20255,9,20255,0,0,,0
239,평창군,8,20745,8,20745,8,20745,0,0,,0
240,정선군,9,19571,9,19571,9,19571,0,0,,0
241,철원군,11,21778,11,21778,11,21778,0,0,,0
242,화천군,5,13207,5,12870,5,12870,0,0,,337
243,양구군,5,11355,5,11337,5,11337,0,0,,18
244,인제군,6,15426,6,14297,6,14297,0,0,,1129
245,고성군,6,15377,6,15377,6,15377,0,0,,0
246,양양군,6,13402,6,13402,6,13402,0,0,,0
